1,ال,al,the,article
2,و,wa,and,conjunction
3,ف,fa,so;then,conjunction
4,ثم,thumma,then,adverb
5,أو,aw,or,conjunction
6,أم,am,or in questions,conjunction
7,لكن,lakin,but,conjunction
8,بل,bal,rather;instead,conjunction
9,حتى,hatta,until;even,preposition/conjunction
10,إذا,idha,if;when,conjunction
11,إن,in,if,conjunction
12,أن,an,that;to,particle
13,أنّ,anna,that;indeed,particle
14,لأن,li-anna,because,conjunction
15,لعل,la-alla,perhaps,particle
16,كي,kay,so that,conjunction
17,لكي,li-kay,in order to,conjunction
18,إذن,idhan,then;in that case,particle
19,إلا,illa,except,particle
20,غير,ghayr,other than;non-,noun
21,ليس,laysa,is not,verb
22,ما,ma,what;not,particle
23,لا,la,not;no,particle
24,لم,lam,did not,particle
25,لن,lan,will not,particle
26,لما,lamma,not yet;when,particle
27,قد,qad,already;may,particle
28,سوف,sawfa,will,particle
29,سـ,sa,future marker,particle
30,هل,hal,whether;do,particle
31,أ,a,question marker,particle
32,يا,ya,O;vocative,particle
33,نعم,na-am,yes,adverb
34,كلا,kalla,no;never,adverb
35,بلى,bala,yes indeed,adverb
36,أيضًا,aydan,also,adverb
37,فقط,faqat,only,adverb
38,جداً,jiddan,very,adverb
39,دائمًا,dayiman,always,adverb
40,غالبًا,ghaliban,usually,adverb
41,أحيانًا,ahyanan,sometimes,adverb
42,نادرًا,nadir-an,rarely,adverb
43,الآن,al-an,now,adverb
44,اليوم,al-yawm,today,noun/adverb
45,غدًا,ghadan,tomorrow,noun/adverb
46,أمس,ams,yesterday,noun/adverb
47,هنا,huna,here,adverb
48,هناك,hunaka,there,adverb
49,حيث,hayth,where;wherever,adverb
50,حيثما,haythuma,wherever,adverb
51,متى,mata,when,adverb
52,أين,ayna,where,adverb
53,كيف,kayfa,how,adverb
54,لماذا,limadha,why,adverb
55,كم,kam,how many;how much,adverb
56,أي,ayy,which;any,determiner
57,من,man / min,who;from,pronoun/preposition
58,منذ,mundhu,since,preposition
59,عن,an,about;from,preposition
60,إلى,ila,to;toward,preposition
61,في,fi,in;at,preposition
62,على,ala,on;upon,preposition
63,تحت,taht,under,preposition
64,فوق,fawq,above,preposition
65,بين,bayn,between,preposition
66,مع,ma-a,with,preposition
67,بدون,bidun,without,preposition
68,ضد,didda,against,preposition
69,نحو,nahw,toward;approximately,preposition
70,قبل,qabl,before,adverb/preposition
71,بعد,ba-d,after,adverb/preposition
72,خلال,khilal,during,preposition
73,حول,hawl,around;about,preposition
74,أثناء,athna,during,preposition
75,أمام,amam,in front of,preposition
76,خلف,khalf,behind,preposition
77,داخل,dakhil,inside,preposition
78,خارج,kharij,outside,preposition
79,قرب,qurb,near,preposition
80,بعيدًا,ba-idan,far away,adverb
81,من أجل,min ajl,for the sake of,preposition
82,بسبب,bisabab,because of,preposition
83,رغم,raghm,despite,preposition
84,بفضل,bifadl,thanks to,preposition
85,مثل,mithl,like;such as,preposition/noun
86,حسب,hasab,according to,preposition
87,لدى,lada,at;with,preposition
88,لدي,ladayya,I have,preposition
89,عند,inda,at;with,preposition
90,إزاء,iza,toward;in the face of,preposition
91,بدل,badal,instead of,preposition
92,باستثناء,bi-istithna,except for,preposition
93,عبر,abr,across;through,preposition
94,من خلال,min khilal,through,preposition
95,بالرغم من,bir-raghm min,despite,preposition
96,بناء على,bina-an ala,based on,preposition
97,وفق,wifq,according to,preposition
98,وفقًا,wifqan,according to,adverb
99,أما,amma,as for,particle
100,أما ... فـ,amma ... fa,as for ... then,construction
101,بينما,baynama,while;whereas,conjunction
102,كلما,kullama,whenever,conjunction
103,بعدما,ba-dama,after,conjunction
104,قبلما,qablama,before,conjunction
105,عندما,indama,when,conjunction
106,حينما,hinama,when,conjunction
107,كما,kama,as;just as,conjunction
108,مثلما,mithlama,just as,conjunction
109,بما أن,bima anna,since;given that,conjunction
110,بمجرد أن,bimujarrad an,as soon as,conjunction
111,منذ أن,mundhu an,since,conjunction
112,حتى لو,hatta law,even if,conjunction
113,لو,law,if;would,conjunction
114,لولا,lawla,if not;were it not for,particle
115,لو كان,law kana,if it were,construction
116,إنما,innama,only;indeed,particle
117,لا سيما,la siyama,especially,particle
118,بالطبع,bit-tab,of course,adverb
119,حقًا,haqqan,really;truly,adverb
120,فعلاً,fi-lan,actually,adverb
121,ربما,rubbama,perhaps,adverb
122,تقريبًا,taqriban,approximately,adverb
